"","add","crp","dsbG","gor","grxA","hemH","oxyR","rbsR","trxC","pval","z","inv_cof_var"
"T6031",0.085122812,0.165596,0.051186509,0.056490279,0.051388761,0.053189285,0.239211503,0.053124674,0.051439228,0.411688519466301,0.223203614506807,4.34740375057036
"T6037",0.115222373,0.097617143,0.109996231,0.068098716,0.071779698,0.06641302,0.277191435,0.073025987,0.070585134,0.466015769276403,0.0852891230757045,3.71172843584288
"T6039",0.069826023,0.106281595,0.123476775,0.077673176,0.069588503,0.07515524,0.29996955,0.069719745,0.069758289,0.455780650168178,0.111069417021736,3.83055493694409
"T6050",0.123824745,0.179436275,0.077403405,0.067977004,0.070577023,0.066793869,0.289864468,0.06919857,0.069826725,0.475926459717303,0.0603800851846186,3.59691772714456
"T6052",0.082080323,0.199895986,0.080835054,0.075468338,0.069428111,0.074527615,0.32854075,0.069628975,0.069653764,0.00990631337232738,2.3298774959651,14.0574825735282
"T6053",0.063506198,0.255802827,0.058804876,0.048840649,0.040873861,0.042547258,0.167751536,0.047114134,0.045814304,0.31970900783307,0.46851266565073,5.47808194597459
"T6063",0.075337698,0.201433793,0.073128899,0.062162442,0.061984036,0.061272966,0.329019119,0.06687559,0.066614861,0.0504614349151958,1.64039593581515,10.879524962264
"T6076",0.109001904,0.20730281,0.061566574,0.05977197,0.060726855,0.059581486,0.361176568,0.063875563,0.065663454,0.479811495363051,0.0506266947950076,3.55196241141783
"T6077",0.041988339,0.540528919,0.044672862,0.040056173,0.037046343,0.041479375,0.14417831,0.038739069,0.042183536,0.00254592970654393,2.80116425837242,16.229736974871
"T6079",0.043552596,0.505800103,0.038859402,0.038648592,0.040242602,0.039106328,0.086436984,0.046548695,0.051161471,0.125966504072783,1.14566689132825,8.59922042141636
"T6081",0.043523642,0.512707639,0.038617992,0.035989364,0.03475211,0.035877899,0.159807173,0.038806825,0.046000136,0.131260922950595,1.1204504749084,8.482992943958
"T6083",0.054660351,0.539583584,0.039165414,0.0353044,0.030625555,0.035400836,0.306243505,0.034103579,0.041717275,0.37955548759188,0.306648444950993,4.73201756674418
"T6085",0.04199613,0.471463599,0.036340143,0.035754369,0.036673729,0.037810994,0.179836429,0.043221568,0.045986152,0.0849860527646967,1.37229344463635,9.6437872693585
"T6087",0.040665584,0.522211248,0.043302787,0.037823187,0.038787115,0.039980223,0.171850495,0.040659657,0.043933022,0.00181060979536438,2.90940108335337,16.7286220236495
"T6090",0.0515108,0.544253894,0.04368373,0.0362685,0.036923715,0.037909036,0.20824655,0.040704184,0.046001678,0.217326203180873,0.781255212267182,6.91957453088109
"T6092",0.046864695,0.507070533,0.044157533,0.046092614,0.039996303,0.039324925,0.123565248,0.044366552,0.048698065,0.035910421341049,1.8002520867244,11.6163337485337
"T6094",0.032386472,0.376608569,0.044335621,0.031742001,0.031747678,0.040393089,0.190139048,0.03254424,0.044970029,0.28794903759279,0.559386349867489,5.8969368263828
"T6096",0.052279408,0.4656626,0.042776656,0.032066715,0.034039852,0.03562862,0.252506595,0.040393318,0.049789376,0.372957062133204,0.324031581760843,4.81213990086505
"T6098",0.035493752,0.526546152,0.049452605,0.033866151,0.032322331,0.04052791,0.187356637,0.03431114,0.038995524,0.26678945327772,0.62255208484651,6.18808025914411
"T6100",0.03973905,0.441943714,0.047673865,0.04022995,0.039900589,0.041564142,0.092858774,0.040090761,0.042966367,0.0111232805079286,2.28613159657553,13.855849024552
"T6101",0.049301205,0.55957635,0.049410601,0.049951803,0.048397457,0.050178162,0.129418099,0.051127954,0.054756823,1.85470848744132e-05,4.12487156406813,22.3309671605005
"T6103",0.047792614,0.5287488,0.045216549,0.041913404,0.042415809,0.042275521,0.064190096,0.045083116,0.04949742,0.0104431028410293,2.31003519528067,13.9660254641149
"T6105",0.042745691,0.498538553,0.044583535,0.038865402,0.038547608,0.041544279,0.140418866,0.041955717,0.043990502,0.00239011191094838,2.82148254901145,16.3233880166336
"T6107",0.046533922,0.51676899,0.045978578,0.041674337,0.037825663,0.040833671,0.193435131,0.039772462,0.041853548,0.018749213483472,2.08029561274778,12.9071100454628
"T6109",0.07049279,0.273378038,0.040242723,0.044554449,0.042662837,0.039270788,0.287872067,0.047782998,0.049668768,0.434019087408959,0.166150929948766,4.08443658275393
"T6111",0.049977342,0.2295874,0.043055527,0.047220469,0.044689438,0.043871747,0.224811443,0.050142518,0.050445528,0.00682518751135733,2.46633461207864,14.686440555624
"T6114",0.056744351,0.393635141,0.050590328,0.04674111,0.042572023,0.045265786,0.389812619,0.045548908,0.048511627,0.0785408291738105,1.41495510933786,9.84042336506189
"T6116",0.063520928,0.374631608,0.047220072,0.044556119,0.037783499,0.042492952,0.315966801,0.038660242,0.042465968,0.344201357402668,0.401023645904125,5.16701163405234
"T6118",0.070522521,0.313363764,0.051338743,0.047504743,0.041991852,0.044976273,0.390831706,0.049333092,0.050736437,0.35249749098516,0.378586455152626,5.06359416033686
"T6122",0.060313242,0.277633852,0.047820549,0.048564557,0.040226493,0.044196721,0.299100844,0.042261397,0.043116874,0.230149410130081,0.738354888288588,6.72183840711322
"T6124",0.053139851,0.251584427,0.044649389,0.045091951,0.041699483,0.041576149,0.299284471,0.045879958,0.048780643,0.0653217036309163,1.51156953293825,10.2857384548113
"T6082",0.058368886,0.555721811,0.042593538,0.047266546,0.051763312,0.043668281,0.081117566,0.056710566,0.061215262,0.239019499243491,0.70946010797983,6.58865661906358
"T6093",0.058973396,0.440184586,0.060838339,0.049223338,0.061114244,0.049723564,0.070248772,0.06820967,0.06677075,0.138739295241855,1.08600090809504,8.32420804036252
"T6106",0.062041781,0.538019808,0.049154197,0.055994358,0.05767365,0.048695979,0.072320782,0.061214995,0.064500074,0.122725120165953,1.16147141738939,8.67206662469626
"T6117",0.070193192,0.081941653,0.055350551,0.054788455,0.062971755,0.055020433,0.259543643,0.067617763,0.067099132,0.111109281991748,1.22065000659527,8.94483250976185
"T6078",0.059924013,0.536404444,0.044500956,0.047657775,0.052604203,0.044736872,0.080219402,0.056803929,0.061859285,0.222795109718204,0.762787361892695,6.83445253625004
"T6089",0.061353043,0.553422377,0.043650869,0.043848373,0.053473377,0.043944122,0.074875174,0.059377105,0.061557677,0.288342965066725,0.55823206155702,5.89161648203443
"T6102",0.063021126,0.497018344,0.051937316,0.05248415,0.059171436,0.051380121,0.073223019,0.062043735,0.06472388,0.0875285863525451,1.3561320007564,9.56929596088008
"T6113",0.069280107,0.21963919,0.056853458,0.052132873,0.061285179,0.052148054,0.237817556,0.066910505,0.06659457,0.144064484473577,1.06223510015328,8.21466670582713
"T6084",0.059822432,0.580087216,0.043480127,0.046149023,0.052150293,0.043497324,0.078737214,0.056637617,0.061123138,0.251920306198587,0.668459051027146,6.39967459467946
"T6095",0.057401329,0.496852068,0.050061965,0.047014785,0.056249022,0.046963238,0.063535019,0.062154246,0.062889718,0.140218354430264,1.0793388301497,8.29350119838604
"T6108",0.06131123,0.551253762,0.049459546,0.049459665,0.05856062,0.049124534,0.073082149,0.061760974,0.065045924,0.161101792954348,0.989939715280019,7.88144290131047
"T6119",0.068061498,0.085282578,0.056082625,0.053613504,0.06116774,0.05308818,0.262260163,0.066498534,0.066049908,0.0974893914544866,1.29599042730345,9.29209148993432
"T6086",0.059159085,0.511722989,0.045362309,0.048894031,0.052952331,0.04522757,0.226534534,0.057388304,0.061324389,0.179257809953446,0.918197227506449,7.55076750946756
"T6097",0.059652734,0.539933928,0.044808538,0.048160525,0.054364164,0.045607388,0.074058174,0.059212532,0.0627132,0.214278053007136,0.791664878953317,6.9675547545563
"T6110",0.076405627,0.255016187,0.051302609,0.051672445,0.062600571,0.052899542,0.348413661,0.067247615,0.069300031,0.298045019767039,0.530031574094585,5.76163482777073
"T6121",0.066505433,0.21281776,0.058004827,0.050999711,0.061215536,0.051999601,0.218863986,0.067713926,0.066685619,0.123294019969467,1.15867658172028,8.6591846713559
"T6080",0.059641593,0.549164766,0.043714225,0.046029471,0.051719296,0.044103954,0.077612313,0.056053209,0.060316623,0.230430477266045,0.737429905895246,6.71757497933341
"T6091",0.062986961,0.554507658,0.042456293,0.044987786,0.053571152,0.043661302,0.072742388,0.059197386,0.062289077,0.316577198148748,0.477291733926005,5.51854641733645
"T6104",0.062183489,0.529065239,0.048363448,0.049473519,0.058744637,0.048688803,0.074232626,0.061981675,0.065413537,0.192594022343507,0.868376884954504,7.32113564407827
"T6115",0.06611838,0.241340009,0.055156747,0.052456422,0.061455932,0.052476878,0.083548243,0.066559422,0.0667236,0.109809438391398,1.22754218443457,8.97659992790398
"T6088",0.06171566,0.563708439,0.042632225,0.050986441,0.052066117,0.043779669,0.229498072,0.057182663,0.061238366,0.255289832120989,0.657935365877361,6.35116883723319
"T6099",0.059182962,0.510093512,0.044055582,0.043653076,0.054662129,0.044723525,0.071206177,0.059834776,0.06259242,0.272420853519882,0.605507704484901,6.10951932085349
"T6112",0.070211934,0.326097416,0.051295517,0.051284845,0.060505341,0.052084272,0.353711233,0.064405806,0.066504993,0.211783904421739,0.80024681845351,7.00711062019557
"T6123",0.066875416,0.172733285,0.055234558,0.052315603,0.060915434,0.052411231,0.205990785,0.065801806,0.066580209,0.117364177561777,1.18826669394751,8.79557138248162
"T6130",0.055493837,0.070855142,0.055875117,0.058939106,0.060695191,0.056519837,0.251897594,0.061190926,0.062034449,4.31543408999516e-05,3.92617135083492,21.4151183669998
"T6140",0.060156633,0.071877022,0.060669754,0.064360945,0.064232706,0.059642264,0.242093387,0.062410329,0.064699127,3.08710758886221e-07,4.98568661616308,26.2986349050896
"T6145",0.053278207,0.070510354,0.053437304,0.058778479,0.058177212,0.053230605,0.246544734,0.06042784,0.060978361,0.00213183343717277,2.85796554315894,16.4915453911507
"T6167",0.058386813,0.061402219,0.055296168,0.055507833,0.059759008,0.056056135,0.219073344,0.058541759,0.059805889,9.49045740241579e-08,5.20905079682092,27.3281648287775
"T6126",0.056382942,0.070290708,0.056320412,0.057741062,0.059666191,0.056701118,0.247473315,0.060489731,0.060753751,1.02150294983148e-09,5.99435027832141,30.9477662925405
"T6141",0.053119251,0.070809622,0.05309033,0.058987077,0.059263775,0.052969138,0.248681882,0.060938739,0.061386154,0.00653907767006343,2.48163392925015,14.756958150673
"T6158",0.059100516,0.06825393,0.059227691,0.059588762,0.062836103,0.058632318,0.280852844,0.06148297,0.063641943,3.92068304136463e-08,5.37074123291953,28.073428200225
"T6165",0.057940109,0.063595492,0.057116998,0.058987743,0.062338434,0.0564936,0.230967882,0.059861973,0.061678357,2.28628244504741e-06,4.58350018063231,24.4448776506327
"T6132",0.057362796,0.077474099,0.057746799,0.062876754,0.064925781,0.058624592,0.25619723,0.065518683,0.06653429,0.0041063853032433,2.64319506180289,15.501625536366
"T6147",0.054136232,0.068968259,0.054054592,0.060213394,0.058735475,0.054063953,0.25775111,0.060065529,0.060861757,0.0011343727094925,3.05259151320184,17.388615187641
"T6153",0.057750566,0.073681226,0.056994792,0.056981364,0.063117637,0.056958028,0.22042599,0.062803277,0.064435729,0.00128771159304278,3.01433610490634,17.2122884038786
"T6160",0.057948203,0.065911464,0.058177968,0.056989055,0.059032154,0.056872023,0.25181254,0.057903879,0.059961407,2.44319663945268e-23,9.88395788321032,48.8757411757262
"T6134",0.055600665,0.073072111,0.055789668,0.058774642,0.061481187,0.056780406,0.251212606,0.061987274,0.063074834,0.000391839587936353,3.35849578080062,18.7985887847918
"T6149",0.055167738,0.064969394,0.054872317,0.064445914,0.05910691,0.054755637,0.254661318,0.060512861,0.060452625,0.00632125198576177,2.49368400029544,14.8124993242271
"T6162",0.058691667,0.066289304,0.058891985,0.058359914,0.060445215,0.058315587,0.24420086,0.059519825,0.061264781,9.19271495727463e-23,9.75033844179917,48.2598626005935
"T6169",0.05875647,0.064682113,0.057066542,0.057245569,0.060947992,0.057312566,0.221094327,0.059389464,0.061429497,3.40501287869411e-09,5.79554353784265,30.0314264937826
"T6128",0.054881704,0.072138669,0.05526981,0.056934701,0.060955494,0.056065393,0.249980312,0.061488195,0.062402296,0.000576693568196031,3.25016340777227,18.2992633360635
"T6138",0.059424278,0.072437371,0.059398171,0.060471238,0.063816175,0.059631268,0.234592264,0.062607645,0.064591471,4.33515835909235e-07,4.91964082772065,25.9942167332288
"T6143",0.053397752,0.067079527,0.0532096,0.056087125,0.057232309,0.052852934,0.250369237,0.059356553,0.059509957,8.59637879487577e-05,3.7570508427061,20.6356083161262
"T6155",0.059384556,0.069480629,0.057378647,0.059068254,0.065143374,0.057425756,0.187736425,0.063126525,0.065343455,0.00210496604626373,2.86198772663391,16.5100844345813
"T6136",0.056041334,0.188010059,0.056530091,0.061666846,0.065492249,0.058497291,0.251732858,0.065992037,0.067212163,0.0179824403594981,2.09732425997901,12.9855984666271
"T6151",0.055239985,0.06384673,0.055444702,0.058487416,0.05963092,0.054853827,0.229159036,0.061473663,0.061164774,3.52976834210466e-05,3.97427025965701,21.6368158020282
"T6164",0.059368484,0.072265259,0.05960026,0.059762118,0.06346682,0.059199996,0.303216169,0.061843048,0.064588377,6.58346199572426e-07,4.83721762995623,25.6143118252235
"T6171",0.059490762,0.063882372,0.057664735,0.057564244,0.061479105,0.057959513,0.208457819,0.060465721,0.061925258,2.31841881451039e-09,5.85970728691233,30.3271699719387
"T6125",0.060432285,0.045691976,0.043872672,0.047166535,0.043296089,0.054116655,0.228289839,0.044175427,0.043370387,0.219531974026502,0.773774849384902,6.88509605091769
"T6127",0.056827929,0.044791069,0.050896763,0.047409998,0.044464434,0.052500919,0.170774889,0.045989519,0.045065585,0.0630102275330324,1.52998494662567,10.3706187583248
"T6129",0.063638841,0.055150898,0.05543426,0.058261096,0.045769387,0.056853915,0.092407479,0.047806894,0.045720094,0.178190199665819,0.922284111661707,7.56960477119901
"T6131",0.070949414,0.085466247,0.106334543,0.068391424,0.050891997,0.066278748,0.130155461,0.054287273,0.050481005,0.494637037090747,0.0134433593759015,3.38057702471998
"T6137",0.054717083,0.042966625,0.047211933,0.048103983,0.04222761,0.049034797,0.212460292,0.041866577,0.042363848,0.0695502528561117,1.47914896591659,10.1363056147139
"T6139",0.054516446,0.049251595,0.045974185,0.048441441,0.053139713,0.049733439,0.152819691,0.047350335,0.049829867,0.00271510455810573,2.78033952340202,16.1337516304807
"T6142",0.054200026,0.091994884,0.05451946,0.04656434,0.045237348,0.050871179,0.313306352,0.04543752,0.045497007,0.0372902446643431,1.78303571732677,11.5369800785768
"T6144",0.052130167,0.048165135,0.055791878,0.043499551,0.040801614,0.050259324,0.331292305,0.041099104,0.040750649,0.188209291262988,0.884514418517214,7.39551674515006
"T6146",0.056011915,0.047115835,0.057959876,0.051999459,0.04787446,0.053417822,0.181275182,0.047082139,0.047457364,0.0249029990970977,1.96162638412358,12.3601399738527
"T6148",0.057862984,0.061017616,0.058546083,0.05743055,0.065847268,0.057731903,0.36334054,0.062711353,0.065222475,0.00487468996512396,2.58459373663048,15.2315203760172
"T6150",0.046804558,0.046367884,0.047099131,0.044153104,0.046409642,0.045668119,0.288907483,0.04534166,0.046056915,9.21770284968646e-19,8.76647070056642,43.7250205432541
"T6152",0.055524465,0.06568712,0.055472549,0.055468151,0.070193069,0.055446309,0.294311478,0.063641757,0.065855143,0.108509786300496,1.23449214323117,9.00863366996784
"T6154",0.048519632,0.047881649,0.049615517,0.047530287,0.061520776,0.047804032,0.263776274,0.05317169,0.057044452,0.113775936543645,1.20668916566343,8.88048421785199
"T6156",0.056903929,0.055190199,0.058901438,0.050173411,0.045732019,0.052585603,0.241038701,0.045367347,0.045528291,0.0989845148422607,1.28735945407226,9.25230961807873
"T6157",0.059772779,0.047092846,0.0508699,0.049724943,0.048264354,0.054387831,0.211346475,0.046487696,0.046700079,0.0517585975189627,1.62803627137616,10.8225568111969
"T6159",0.053807868,0.050664074,0.051277577,0.052531371,0.055200531,0.051483557,0.176948933,0.052152038,0.053173784,1.01842773947077e-12,7.03193715604157,35.7302105317767
"T6161",0.044896134,0.042150736,0.040266861,0.044819717,0.044239328,0.042220275,0.278619677,0.042143844,0.042319135,6.17693356594153e-06,4.37124747832003,23.4665627401107
"T6163",0.047635106,0.04805916,0.048831129,0.047674555,0.066230413,0.047419412,0.268695611,0.062559618,0.06520397,0.292506025349514,0.546078394276554,5.8355978128327
"T6166",0.057529462,0.04729364,0.059219847,0.049752573,0.047438168,0.053996825,0.275018423,0.047194861,0.047300803,0.0679673698144435,1.49110191505191,10.1913991340727
"T6168",0.054551881,0.054207563,0.054824355,0.051673824,0.047943751,0.051295903,0.306784291,0.044338847,0.044942917,0.0155998394382521,2.1545166346187,13.2492094938066
"T6170",0.040966149,0.040786295,0.041149553,0.040620581,0.058612178,0.040579593,0.277994073,0.050679105,0.054715391,0.312322083753714,0.489279026637256,5.57379823306578
"T6172",0.060346356,0.060941659,0.060488676,0.06030921,0.069544682,0.060175536,0.305726693,0.06442757,0.066588665,0.00458842319985207,2.60539474704832,15.3273963692273
"T6174",0.052076737,0.04878407,0.056602403,0.049629348,0.049155029,0.050573084,0.39258092,0.054214182,0.053299332,0.000427651618470493,3.33424812489731,18.6868265171881
"T6176",0.051777033,0.052365535,0.053365761,0.04852679,0.045646841,0.04937479,0.382808226,0.045542459,0.045782962,0.00354963822564102,2.69215114065574,15.727273838511
"T6178",0.066759175,0.049046427,0.061887391,0.049476339,0.046738519,0.061004806,0.408316353,0.046442037,0.046621402,0.260498040395697,0.641810731687759,6.27684719193704
"T6180",0.05796163,0.055114015,0.059073769,0.056764739,0.055037655,0.056701819,0.352723083,0.054812411,0.054746598,1.16100648328619e-11,6.68419257533303,34.1273866117312
"T6182",0.055404373,0.05300813,0.057451343,0.05391993,0.053033665,0.054404662,0.365136448,0.053835191,0.053764568,4.90627532884629e-12,6.8092255916252,34.7036886461157
"T6184",0.047505802,0.061724007,0.048303822,0.047154876,0.050270997,0.047146829,0.368938516,0.053973628,0.053572335,0.000253980478456457,3.47652284198114,19.3425989789617
"T6185",0.049084468,0.067205598,0.048576986,0.046082961,0.046467627,0.047263123,0.269348192,0.049118453,0.0492272,2.96638220785708e-12,6.88125475187104,35.035685368387
"T6187",0.051389964,0.046349761,0.051470986,0.047933417,0.044824577,0.048860035,0.33476971,0.044704839,0.04476116,0.00270260648046505,2.78183730315921,16.1406551952089
"T6190",0.048515833,0.064629044,0.046593652,0.071426135,0.046902104,0.045131156,0.253693886,0.053459323,0.052514621,0.339461857904892,0.413932262012996,5.22651001252261
"T6192",0.050085945,0.080105113,0.049619261,0.067403827,0.049349088,0.047482534,0.227904478,0.053870487,0.054642001,0.201373203048786,0.836726346742224,7.17525201988034
"T6194",0.050391289,0.069018182,0.048773256,0.061340427,0.049346631,0.047599409,0.218090836,0.053181929,0.055820364,0.0787788408308428,1.41333352303445,9.83294915134378
"T6196",0.04940482,0.081777028,0.047660428,0.070322028,0.047676217,0.045702755,0.243480803,0.05117135,0.054614402,0.302366428342737,0.517606484326219,5.70436511835104
"T6197",0.051233799,0.095548886,0.050753588,0.049379778,0.045719172,0.047504734,0.237629162,0.052287878,0.048825341,4.60995332393631e-06,4.4347035612844,23.7590444444709
"T6199",0.05323844,0.058554185,0.052433476,0.047981882,0.046482437,0.048821588,0.178409599,0.052640187,0.050296618,0.00031878858791875,3.41510376603014,19.0595062449764
"T6201",0.058967984,0.087347078,0.059473488,0.049989569,0.04733183,0.05401421,0.261429425,0.049889983,0.050157372,0.0577839697843766,1.57365193473565,10.5718885895223
"T6203",0.065118202,0.090596848,0.065152655,0.051135328,0.049926346,0.059216854,0.303877561,0.049673986,0.049853063,0.171637039843976,0.947715948295876,7.68682516326056
"T6205",0.065955058,0.093267333,0.06722651,0.058823435,0.055676163,0.062140853,0.457438496,0.054157144,0.054181001,0.041231276836183,1.73657308529057,11.3228245686213
"T6207",0.057909403,0.122277481,0.056667386,0.058103427,0.053999816,0.055257453,0.363156442,0.056802055,0.055764263,1.70227914682089e-12,6.95992421696297,35.3982885760907
"T6210",0.055665686,0.09692683,0.06105362,0.050053171,0.049823379,0.05170488,0.249536093,0.052880012,0.052355366,0.0234013059183497,1.98808208980703,12.4820795819544
"T6212",0.050510743,0.0843747,0.05537312,0.0416886,0.040439157,0.046114217,0.206500181,0.043477597,0.043515685,0.150122338745114,1.03590883064914,8.09332369481367
"T6214",0.062337802,0.088788651,0.05535182,0.093538413,0.049740971,0.05607727,0.213715202,0.056210882,0.051014662,0.463255453310013,0.0922355336157857,3.74374582328689
"T6216",0.067110071,0.066672133,0.073771405,0.051848784,0.050925976,0.061963445,0.43005137,0.050071182,0.050083601,0.280351669384132,0.581797128049476,6.00023255931337
"T6218",0.065616445,0.089752974,0.069086141,0.061316267,0.057060121,0.062968765,0.480864048,0.05639717,0.0561808,0.023063868005077,1.99422257607477,12.5103823041725
"T6220",0.052097344,0.131681274,0.053589576,0.064887485,0.053673299,0.050822662,0.366633106,0.059983616,0.058754425,0.0583215363187813,1.56902088514751,10.5505431611056
"T6177",0.065800762,0.067235207,0.060439626,0.062486311,0.060627363,0.062512923,0.304971358,0.061796103,0.060813477,1.61020693399052e-09,5.91994904166315,30.6048361984069
"T6189",0.060133295,0.069202535,0.060143074,0.067296102,0.069113847,0.058486279,0.339910454,0.068024723,0.069368872,0.0201970894870458,2.04969524860277,12.7660668823637
"T6202",0.054163783,0.071126004,0.054558884,0.064627969,0.060321445,0.053699545,0.250635692,0.063418499,0.063574971,0.0337605553004278,1.82818953808002,11.7451030170775
"T6213",0.053646776,0.074283169,0.057796822,0.074114322,0.057597418,0.051899691,0.188882276,0.068388515,0.06149869,0.183646830342302,0.901554330114427,7.47405708601698
"T6173",0.055521248,0.066376973,0.055451791,0.062390978,0.062472654,0.055632505,0.244774994,0.065322127,0.066843509,0.0257718697552206,1.94692489516496,12.2923778879126
"T6186",0.05359259,0.057558301,0.054240626,0.055443708,0.058712065,0.053800338,0.212685098,0.063777954,0.063096674,0.00544173340518958,2.54641835283013,15.0555624410656
"T6198",0.054694541,0.071549564,0.05463542,0.067990041,0.060443792,0.054366133,0.25227572,0.063811503,0.063959875,0.0647886005998251,1.51577126169716,10.3051050581574
"T6209",0.05357377,0.080003948,0.053239014,0.067042002,0.062306083,0.053332982,0.236175218,0.063895199,0.065346361,0.104296159967488,1.25744561659638,9.11443079291056
"T6179",0.054377986,0.063162676,0.053885308,0.055161277,0.058289977,0.053760297,0.273275029,0.061802257,0.06183271,0.00107274817394381,3.06931584282188,17.465700948423
"T6191",0.059794098,0.08105459,0.058335436,0.069734523,0.067744367,0.058350225,0.369057924,0.066861798,0.068817666,0.036409844398584,1.79395915266089,11.5873283641113
"T6204",0.0534573,0.075116654,0.053296994,0.068190548,0.06088344,0.05360557,0.245568933,0.063972071,0.06512879,0.110807075250204,1.22224722388245,8.95219440183846
"T6215",0.055679397,0.078295911,0.055203624,0.073260805,0.063162051,0.05541142,0.266433658,0.064180418,0.065288477,0.134604414102844,1.10488637215066,8.41125489949067
"T6181",0.054328024,0.064146249,0.05404387,0.057061518,0.05922135,0.05389429,0.268519097,0.061857419,0.062842731,0.00330363984817537,2.71601563849726,15.8372700544184
"T6193",0.058758433,0.075881683,0.055752416,0.06093215,0.060300825,0.055863231,0.367060677,0.062658145,0.063532515,0.000228523999668205,3.50474314819573,19.472671981795
"T6206",0.054342145,0.074086454,0.054545689,0.06802973,0.060172752,0.053954506,0.256869667,0.062871371,0.063913367,0.072636816724969,1.45643055711968,10.0315919511081
"T6217",0.055526723,0.083339116,0.056189606,0.06779643,0.065178152,0.055955975,0.233455807,0.067283395,0.068593325,0.0805784329098315,1.40119133143214,9.77698337582456
"T6175",0.053062107,0.062370725,0.052563972,0.053763372,0.056400797,0.052494906,0.288373244,0.059014529,0.059838121,0.000389273634102556,3.36031118473502,18.8069563425109
"T6188",0.053156433,0.053788771,0.053850497,0.056833199,0.059426736,0.053453911,0.246438684,0.065081216,0.063994958,0.0155937518978965,2.15467208414262,13.2499259915728
"T6200",0.053202582,0.072407122,0.053429134,0.063960602,0.059069475,0.052771215,0.253814924,0.062675727,0.062876183,0.0423412293303474,1.72414063099664,11.2655209146389
"T6211",0.054357234,0.189648627,0.05377899,0.067575093,0.061536724,0.053805984,0.232487586,0.063357775,0.065377006,0.089883943512979,1.34147005115708,9.50171611970926
"T6183",0.053893862,0.065610021,0.053969871,0.056755867,0.058538854,0.053805175,0.260290037,0.060072598,0.061136343,0.000468225283273966,3.30895449299117,18.5702431381995
"T6195",0.061437246,0.079457343,0.058808327,0.066182788,0.063133369,0.058792686,0.368161457,0.064411771,0.065154291,0.000166532186445631,3.5881251845426,19.8569963674879
"T6208",0.054859677,0.071291458,0.054548987,0.067217066,0.059743138,0.054007678,0.257020487,0.063016017,0.062866063,0.0491102719643666,1.65354230363081,10.9401191856268
"T6219",0.054715075,0.178960536,0.054698972,0.071803477,0.062850294,0.055039771,0.237106866,0.065990275,0.06662267,0.137518801510384,1.09153485630094,8.34971510804603
"T3654",0.072042984,0.396030433,0.05975299,0.058540153,0.07499544,0.071734985,0.055576459,0.050251363,0.078457355,0.133262647755561,1.11110002876017,8.4398948783636
"T3655",0.082666225,0.558555764,0.053252186,0.048458982,0.082461294,0.085759036,0.067751099,0.02850419,0.082169751,0.415755045417074,0.212765222783881,4.29929112748873
"T7313",0.150365605,0.528996164,0.10407686,0.0940633,0.077870002,0.094993183,0.316369225,0.078692844,0.079967584,0.459640763618209,0.101338786812647,3.78570452741516
"T7316",0.137028195,0.484299014,0.148759806,0.086062406,0.083428631,0.079410226,0.322777721,0.083395695,0.084245923,0.499963241254034,9.21405121098956e-05,3.31903860214256
"T7320",0.140257257,0.511528283,0.123300994,0.093856011,0.079164891,0.078637557,0.2974542,0.085887368,0.086061886,0.449020713409699,0.128135899111102,3.90921774649278
"T7321",0.141514568,0.556649551,0.083272212,0.110771468,0.06889698,0.118606658,0.380006031,0.075006564,0.074935693,0.48452912467331,0.0387894585782743,3.49740223590985
"T7322",0.143871361,0.519155918,0.122922675,0.08374832,0.068013982,0.125015901,0.336355657,0.079109759,0.079179404,0.494549794394049,0.0136620644711535,3.38158507999259
"T7323",0.140685523,0.464962734,0.13217906,0.102655726,0.08103686,0.07506687,0.444165231,0.081813959,0.081496283,0.474269819810744,0.0645407767525296,3.61609518191723
"T7324",0.135783339,0.394734357,0.154275504,0.087956196,0.088234745,0.07823869,0.455699355,0.087546557,0.087106797,0.498632126542301,0.00342875700346637,3.3344177310235
"T7326",0.136540254,0.492337799,0.140390846,0.087532067,0.084188597,0.08157992,0.33027948,0.087727679,0.087655238,0.464405532825055,0.0893408054498663,3.73040344556554
"T7342",0.140273587,0.504892546,0.105996954,0.085769236,0.065745584,0.082824922,0.281706807,0.088289877,0.08808656,0.46829685980523,0.079551815177593,3.68528404290074
"T7348",0.136502262,0.463173626,0.158214606,0.086154695,0.087647426,0.087046947,0.198195475,0.087909138,0.087212508,0.496676095346799,0.00833188978538931,3.35701724498289
"T7400",0.140834957,0.482069015,0.139297994,0.087515657,0.08866655,0.06859344,0.36345964,0.087601521,0.088679336,0.494776972875295,0.0130925615042689,3.37896012757493
"T7402",0.135792122,0.428048975,0.149342631,0.089341897,0.089565553,0.082013584,0.375975292,0.089466149,0.090506564,0.467727430216529,0.0809837691653039,3.69188420356818
"T7434",0.130926538,0.442488358,0.166964213,0.091749294,0.089561511,0.086156071,0.395470921,0.092361619,0.092296741,0.496248141073926,0.00940465430108013,3.36196182995046
"T7436",0.139387249,0.410271791,0.131585525,0.079388288,0.088345054,0.070028457,0.375679031,0.088526102,0.088540694,0.487740910480117,0.0307338180876583,3.46027218705808
"T7438",0.140606879,0.448717797,0.146882186,0.089248161,0.08917227,0.090872418,0.410503542,0.087491275,0.088491785,0.45630619416925,0.10974401998237,3.82444591843998
